,Exp,Height,Player,Pos,Salary,Team,Year
0,3,6-4,Danny Ainge,SG,400000,BOS,1985
1,5,6-9,Larry Bird,SF,1800000,BOS,1985
2,8,6-3,Quinn Buckner,PG,239000,BOS,1985
3,9,6-6,M.L. Carr,SF,175000,BOS,1985
4,1,6-4,Carlos Clark,SG,65000,BOS,1985
5,8,6-4,Dennis Johnson,PG,405000,BOS,1985
6,1,6-11,Greg Kite,C,120000,BOS,1985
7,7,6-8,Cedric Maxwell,SF,830000,BOS,1985
8,4,6-10,Kevin McHale,PF,1000000,BOS,1985
9,8,7-0,Robert Parish,C,700000,BOS,1985
10,10,6-7,Scott Wedman,SF,400000,BOS,1985
0,R,6-6,Charles Barkley,PF,307000,PHI,1985
1,6,6-1,Maurice Cheeks,PG,350000,PHI,1985
2,13,6-7,Julius Erving,SF,1054000,PHI,1985
3,2,6-8,Marc Iavaroni,PF,100000,PHI,1985
4,6,6-10,Clemon Johnson,C,406000,PHI,1985
5,10,6-9,Bobby Jones,PF,500000,PHI,1985
6,10,6-10,Moses Malone,C,2125000,PHI,1985
7,5,6-3,Clint Richardson,SG,170000,PHI,1985
8,1,6-2,Sedale Threatt,PG,78000,PHI,1985
9,4,6-3,Andrew Toney,SG,310000,PHI,1985
10,R,6-3,Leon Wood,PG,215000,PHI,1985
0,7,6-3,Otis Birdsong,SG,1075000,NJN,1985
1,4,6-3,Darwin Cook,PG,255000,NJN,1985
2,9,6-11,Darryl Dawkins,C,768000,NJN,1985
3,4,6-11,Mike Gminski,C,350000,NJN,1985
4,3,6-6,Albert King,SF,275000,NJN,1985
5,2,6-5,Kevin McKenna,SG,85000,NJN,1985
6,4,6-7,Mike O'Koren,SF,244000,NJN,1985
7,6,6-5,Micheal Ray Richardson,PG,427000,NJN,1985
8,3,6-8,Buck Williams,PF,513000,NJN,1985
0,7,6-7,Greg Ballard,SF,350000,WSB,1985
1,1,6-8,Darren Daye,SF,95000,WSB,1985
2,3,6-1,Frank Johnson,PG,232000,WSB,1985
3,4,6-10,Rick Mahorn,PF,361000,WSB,1985
4,1,6-4,Jeff Malone,SG,211000,WSB,1985
5,5,6-9,Cliff Robinson,PF,450000,WSB,1985
6,3,6-10,Jeff Ruland,C,326000,WSB,1985
7,8,6-2,Gus Williams,PG,730000,WSB,1985
0,4,6-5,Butch Carter,SG,160000,NYK,1985
1,5,6-9,Pat Cummings,C,800000,NYK,1985
2,7,6-6,Ernie Grunfeld,SF,250000,NYK,1985
3,7,6-7,Bernard King,SF,874000,NYK,1985
4,4,6-8,Louis Orr,PF,325000,NYK,1985
5,10,6-7,Truck Robinson,PF,540000,NYK,1985
6,4,6-2,Rory Sparrow,PG,500000,NYK,1985
7,2,6-5,Trent Tucker,SG,273000,NYK,1985
8,1,6-4,Darrell Walker,PG,230000,NYK,1985
0,1,7-3,Randy Breuer,C,167000,MIL,1985
1,2,6-9,Terry Cummings,PF,410000,MIL,1985
2,9,6-5,Kevin Grevey,SF,383000,MIL,1985
3,2,6-2,Craig Hodges,SG,100000,MIL,1985
4,3,7-0,Alton Lister,C,150000,MIL,1985
5,5,7-0,Paul Mokeski,C,345000,MIL,1985
6,5,6-3,Sidney Moncrief,PG,884000,MIL,1985
7,2,6-4,Ricky Pierce,SG,140000,MIL,1985
8,2,6-5,Paul Pressey,SF,152000,MIL,1985
9,1,6-10,Mark West,C,120000,MIL,1985
0,7,6-10,Kent Benson,C,270000,DET,1985
1,R,6-7,Tony Campbell,SF,110000,DET,1985
2,4,6-9,Earl Cureton,C,200000,DET,1985
3,5,6-2,Vinnie Johnson,SG,625000,DET,1985
4,5,6-9,Major Jones,PF,65000,DET,1985
5,4,6-11,Bill Laimbeer,C,500000,DET,1985
6,6,6-5,John Long,SG,330000,DET,1985
7,9,6-8,Dan Roundfield,PF,674000,DET,1985
8,2,6-5,Brook Steppe,SG,100000,DET,1985
9,3,6-1,Isiah Thomas,PG,750000,DET,1985
10,3,6-6,Kelly Tripucka,SF,700000,DET,1985
11,6,6-7,Terry Tyler,SF,225000,DET,1985
0,6,6-11,Dave Corzine,C,660000,CHI,1985
1,2,6-3,Quintin Dailey,SG,410000,CHI,1985
2,1,6-9,Sidney Green,PF,275000,CHI,1985
3,5,6-9,Dave Greenwood,PF,550000,CHI,1985
4,2,6-7,Rod Higgins,SF,160000,CHI,1985
5,3,6-10,Steve Johnson,C,369000,CHI,1985
6,11,6-11,Caldwell Jones,C,500000,CHI,1985
7,R,6-6,Michael Jordan,SG,550000,CHI,1985
8,1,6-3,Ennis Whatley,PG,200000,CHI,1985
9,3,6-9,Orlando Woolridge,SF,300000,CHI,1985
0,2,6-0,John Bagley,PG,209000,CLE,1985
1,5,6-10,Jeff Cook,PF,142000,CLE,1985
2,8,6-2,Johnny Davis,PG,475000,CLE,1985
3,9,6-2,World B. Free,SG,675000,CLE,1985
4,1,6-9,Roy Hinson,PF,150000,CLE,1985
5,5,6-8,Phil Hubbard,SF,200000,CLE,1985
6,7,6-9,Ben Poquette,PF,284000,CLE,1985
7,8,6-8,Lonnie Shelton,PF,395000,CLE,1985
8,1,6-6,Paul Thompson,SF,90000,CLE,1985
9,R,6-11,Melvin Turpin,C,260000,CLE,1985
0,4,6-10,Rickey Brown,C,160000,ATL,1985
1,2,6-10,Scott Hastings,PF,160000,ATL,1985
2,7,6-2,Eddie Johnson,SG,491000,ATL,1985
3,2,6-8,Cliff Levingston,PF,200000,ATL,1985
4,1,6-4,Doc Rivers,PG,105000,ATL,1985
5,7,7-1,Tree Rollins,C,678000,ATL,1985
6,2,6-7,Dominique Wilkins,SF,460000,ATL,1985
7,5,6-7,Sly Williams,SF,450000,ATL,1985
8,1,6-6,Randy Wittman,SG,170000,ATL,1985
0,2,6-9,Bill Garnett,PF,269000,IND,1985
1,2,6-7,Clark Kellogg,PF,406000,IND,1985
2,4,6-1,Jerry Sichting,PG,135000,IND,1985
3,1,6-11,Steve Stipanovich,C,420000,IND,1985
4,1,6-3,Jim Thomas,SG,80000,IND,1985
5,1,6-11,Granville Waiters,C,100000,IND,1985
6,3,6-10,Herb Williams,C,200000,IND,1985
0,6,6-10,Wayne Cooper,C,280000,DEN,1985
1,8,6-7,Alex English,SF,790000,DEN,1985
2,5,6-1,Mike Evans,SG,60000,DEN,1985
3,14,6-9,Dan Issel,C,614000,DEN,1985
4,2,6-9,Joe Kopicki,PF,80000,DEN,1985
5,2,6-3,Fat Lever,PG,185000,DEN,1985
6,5,6-6,Calvin Natt,PF,708000,DEN,1985
7,3,6-11,Danny Schayes,C,225000,DEN,1985
0,1,6-6,Craig Ehlo,SG,80000,HOU,1985
1,3,6-6,Lewis Lloyd,SG,150000,HOU,1985
2,1,6-7,Rodney McCray,SF,360000,HOU,1985
3,R,7-0,Hakeem Olajuwon,C,780000,HOU,1985
4,1,7-4,Ralph Sampson,PF,1300000,HOU,1985
5,1,6-4,Mitchell Wiggins,SG,130000,HOU,1985
0,3,6-6,Mark Aguirre,SF,800000,DAL,1985
1,3,6-6,Rolando Blackman,SG,215000,DAL,1985
2,1,7-0,Wallace Bryant,C,130000,DAL,1985
3,7,6-3,Brad Davis,PG,210000,DAL,1985
4,1,6-7,Dale Ellis,SF,200000,DAL,1985
5,1,6-4,Derek Harper,PG,200000,DAL,1985
6,3,6-10,Kurt Nimphius,C,250000,DAL,1985
7,R,6-9,Sam Perkins,PF,500000,DAL,1985
8,3,6-7,Jay Vincent,PF,250000,DAL,1985
0,1,6-11,Thurl Bailey,PF,225000,UTA,1985
1,8,6-5,Adrian Dantley,SF,515000,UTA,1985
2,10,6-6,John Drew,SF,250000,UTA,1985
3,2,7-4,Mark Eaton,C,133000,UTA,1985
4,6,6-0,Rickey Green,PG,255000,UTA,1985
