,DWS,Exp,Height,OWS,Player,Pos,Salary,Team,WS,WS_Per_48,Year
0,2.8,3,6-4,3.9,Danny Ainge,SG,400000,BOS,6.699999999999999,0.124,1985
1,5.2,5,6-9,10.5,Larry Bird,SF,1800000,BOS,15.7,0.238,1985
2,1.2,8,6-3,0.0,Quinn Buckner,PG,239000,BOS,1.2,0.027,1985
3,0.5,9,6-6,0.0,M.L. Carr,SF,175000,BOS,0.5,0.05,1985
4,0.7,1,6-4,0.0,Carlos Clark,SG,65000,BOS,0.7,0.044,1985
5,2.8,8,6-4,3.5,Dennis Johnson,PG,405000,BOS,6.3,0.103,1985
6,0.4,1,6-11,0.0,Greg Kite,C,120000,BOS,0.4,0.006,1985
7,1.4,7,6-8,3.2,Cedric Maxwell,SF,830000,BOS,4.6,0.147,1985
8,3.4,4,6-10,7.6,Kevin McHale,PF,1000000,BOS,11.0,0.199,1985
9,4.0,8,7-0,5.0,Robert Parish,C,700000,BOS,9.0,0.151,1985
10,1.0,10,6-7,1.2,Scott Wedman,SF,400000,BOS,2.2,0.093,1985
0,3.3,R,6-6,4.2,Charles Barkley,PF,307000,PHI,7.5,0.154,1985
1,2.8,6,6-1,6.2,Maurice Cheeks,PG,350000,PHI,9.0,0.165,1985
2,3.1,13,6-7,4.5,Julius Erving,SF,1054000,PHI,7.6,0.144,1985
3,0.1,2,6-8,0.1,Marc Iavaroni,PF,100000,PHI,0.2,0.124,1985
4,0.9,6,6-10,0.8,Clemon Johnson,C,406000,PHI,1.7000000000000002,0.095,1985
5,2.0,10,6-9,2.8,Bobby Jones,PF,500000,PHI,4.8,0.142,1985
6,4.0,10,6-10,7.9,Moses Malone,C,2125000,PHI,11.9,0.193,1985
7,0.9,5,6-3,0.9,Clint Richardson,SG,170000,PHI,1.8,0.058,1985
8,1.4,1,6-2,0.8,Sedale Threatt,PG,78000,PHI,2.2,0.047,1985
9,1.5,4,6-3,4.0,Andrew Toney,SG,310000,PHI,5.5,0.118,1985
10,0.2,R,6-3,0.1,Leon Wood,PG,215000,PHI,0.30000000000000004,0.124,1985
0,1.4,7,6-3,2.8,Otis Birdsong,SG,1075000,NJN,4.199999999999999,0.109,1985
1,1.2,4,6-3,0.3,Darwin Cook,PG,255000,NJN,1.5,0.071,1985
2,0.9,9,6-11,1.2,Darryl Dawkins,C,768000,NJN,2.1,0.104,1985
