,MOV,carm_elo1_pre_538,carm_elo2_pre_538,carmelo1_pre_538,carmelo2_pre_538,date,elo1_post,elo1_pre,elo1_pre_538,elo2_post,elo2_pre,elo2_pre_538,score1,score2,season,team1,team2
0,-6.0,,,,,2009-10-27,1544.8917964897914,1555.3749481462123,1682.4541,1571.9965023578204,1561.5133507013995,1616.2,89.0,95.0,2010,CLE,BOS
1,9.0,,,,,2009-10-27,1569.359994733255,1558.278681064482,1600.8452,1639.5617590595643,1650.6430727283373,1624.1465,96.0,87.0,2010,POR,HOU
2,7.0,,,,,2009-10-27,1497.784993821908,1490.6508097945973,1718.7451,1503.6197753444858,1510.7539593717966,1317.8915,99.0,92.0,2010,LAL,LAC
3,-11.0,,,,,2009-10-27,1394.7732862035498,1405.82723668889,1586.4293,1515.2997494408612,1504.245798955521,1361.4187,91.0,102.0,2010,DAL,WAS
4,33.0,,,,,2009-10-28,1584.7244237648147,1571.9965023578204,1629.0884,1483.861972935457,1496.5898943424513,1471.9324,92.0,59.0,2010,BOS,CHO
5,14.0,,,,,2009-10-28,1407.7381886031774,1385.561056126558,1631.2083,1579.6746836247332,1601.8518161013526,1483.4128,120.0,106.0,2010,ORL,PHI
6,-1.0,,,,,2009-10-28,1663.7865287813684,1669.8521424153244,1438.9868,1645.6273726935203,1639.5617590595643,1616.9677,107.0,108.0,2010,GSW,HOU
7,22.0,,,,,2009-10-28,1510.169756511159,1501.1989476549184,1508.1066,1405.2179094192732,1414.1887182755138,1425.277,115.0,93.0,2010,MIA,NYK
8,9.0,,,,,2009-10-28,1567.9937503240842,1558.2608338057812,1622.6371,1607.8738749373415,1617.6067914556445,1536.1366,114.0,105.0,2010,DEN,UTA
9,2.0,,,,,2009-10-28,1541.4640283418232,1538.586495708474,1370.8923,1479.0934243914592,1481.9709570248083,1453.6141,95.0,93.0,2010,MIN,NJN
10,11.0,,,,,2009-10-28,1406.200347254458,1390.143535750332,1505.2119,1536.294567200482,1552.3513787046081,1495.6294,120.0,109.0,2010,ATL,IND
11,-2.0,,,,,2009-10-28,1493.7311835984185,1503.6197753444858,1317.2549,1346.8916865885867,1337.0030948425194,1531.6075,107.0,109.0,2010,LAC,PHO
12,10.0,,,,,2009-10-28,1589.7175447510408,1582.9618737159246,1453.2251,1538.1361254546753,1544.8917964897914,1669.5657,101.0,91.0,2010,TOR,CLE
13,-22.0,,,,,2009-10-28,1355.9746901367992,1372.3794619545497,1410.3574,1505.9752161143513,1489.5704442966007,1473.5449,74.0,96.0,2010,MEM,DET
14,17.0,,,,,2009-10-28,1554.5133295073767,1542.0380011928353,1572.6216,1550.6656307425544,1563.1409590570959,1484.3794,113.0,96.0,2010,SAS,NOP
15,13.0,,,,,2009-10-28,1581.472044049632,1577.614503624413,1401.5803,1394.5372959726433,1398.3948363978623,1340.2896,102.0,89.0,2010,OKC,SAC
16,-3.0,,,,,2009-10-29,1561.6147736233136,1569.359994733255,1608.024,1575.7389714340256,1567.9937503240842,1626.9521,94.0,97.0,2010,POR,DEN
17,7.0,,,,,2009-10-29,1387.5833898978187,1374.5948858081606,1520.4137,1541.5248254177186,1554.5133295073767,1579.0587,92.0,85.0,2010,CHI,SAS
18,-10.0,,,,,2009-10-30,1461.8101888899891,1479.0934243914592,1449.085,1425.0214241046474,1407.7381886031774,1635.3656,85.0,95.0,2010,NJN,ORL
