,MOV,carm_elo1_pre_538,carm_elo2_pre_538,carmelo1_pre_538,carmelo2_pre_538,date,elo1_post,elo1_pre,elo1_pre_538,elo2_post,elo2_pre,elo2_pre_538,score1,score2,season,team1,team2
0,-6.0,,,,,2009-10-27,1669.002506828749,1682.4541,1682.4541,1629.651593171251,1616.2,1616.2,89.0,95.0,2010,CLE,BOS
1,9.0,,,,,2009-10-27,1609.6961488114866,1600.8452,1600.8452,1615.2955511885134,1624.1465,1624.1465,96.0,87.0,2010,POR,HOU
2,7.0,,,,,2009-10-27,1719.5147516211493,1718.7451,1718.7451,1317.1218483788507,1317.8915,1317.8915,99.0,92.0,2010,LAL,LAC
3,-11.0,,,,,2009-10-27,1559.89747381551,1586.4293,1586.4293,1387.95052618449,1361.4187,1361.4187,91.0,102.0,2010,DAL,WAS
4,33.0,,,,,2009-10-28,1638.4261847946705,1629.651593171251,1629.0884,1463.1578083765805,1471.9324,1471.9324,92.0,59.0,2010,BOS,CHO
5,14.0,,,,,2009-10-28,1636.2867429524829,1631.2083,1631.2083,1478.3343570475172,1483.4128,1483.4128,120.0,106.0,2010,ORL,PHI
6,-1.0,,,,,2009-10-28,1435.821533736259,1438.9868,1438.9868,1618.4608174522543,1615.2955511885134,1616.9677,107.0,108.0,2010,GSW,HOU
7,22.0,,,,,2009-10-28,1517.794931786441,1508.1066,1508.1066,1415.588668213559,1425.277,1425.277,115.0,93.0,2010,MIA,NYK
8,9.0,,,,,2009-10-28,1627.92430765478,1622.6371,1622.6371,1530.84939234522,1536.1366,1536.1366,114.0,105.0,2010,DEN,UTA
9,2.0,,,,,2009-10-28,1376.4978814295753,1370.8923,1370.8923,1448.0085185704247,1453.6141,1453.6141,95.0,93.0,2010,MIN,NJN
10,11.0,,,,,2009-10-28,1513.865533703795,1505.2119,1505.2119,1486.975766296205,1495.6294,1495.6294,120.0,109.0,2010,ATL,IND
11,-2.0,,,,,2009-10-28,1313.9157702778102,1317.1218483788507,1317.2549,1534.8135781010405,1531.6075,1531.6075,107.0,109.0,2010,LAC,PHO
